Date,A/C Type,Location,Fatalities,Registration,detail.url
"Dec 24, 2018",Antonov AN-26,"Beni, Nord-Kivu",0,9T-TAB,http://www.baaa-acro.com/crash/crash-antonov-26b-beni
"Dec 20, 2018",Cessna 560 Citation V,"Atlanta-Fulton County-Brown Field, Georgia",4,N188CW,http://www.baaa-acro.com/crash/crash-cessna-560-citation-v-atlanta-4-killed
"Dec 20, 2018",Piper PA-46 Malibu Meridian (Malibu Mirage),"Ponte Vedra Beach, Florida",2,N307JM,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-ponte-vedra-beach-2-killed
"Dec 20, 2018",Antonov AN-26,"Kinshasa, Kinshasa City Province",7,9S-AGB,http://www.baaa-acro.com/crash/crash-antonov-26b-kinshasa-7-killed
"Dec 8, 2018",Britten-Norman Islander,"West Portal (Southwest National Park), Tasmania",1,VH-OBL,http://www.baaa-acro.com/crash/crash-britten-norman-bn-2a-20-islander-west-portal-1-killed
"Dec 6, 2018",Lockheed C-130 Hercules,"Pacific Ocean, All World",5,-,http://www.baaa-acro.com/crash/crash-lockheed-kc-130j-hercules-pacific-ocean-5-killed
"Nov 30, 2018",Cessna 550 Citation II,"Fargo-Hector, North Dakota",0,N941JM,http://www.baaa-acro.com/crash/crash-cessna-550-citation-ii-fargo
"Nov 30, 2018",Cessna 525 CJ2,"Memphis, Indiana",3,N525EG,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-cj2-memphis-3-killed
"Nov 26, 2018",Cessna 525 Citation M2,"Fazenda Fortaleza de Santa Terezinha (Várzea da Palma), Minas Gerais",4,PP-OEG,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-m2-fazenda-fortaleza-de-santa-terezinha-4-killed
"Nov 18, 2018",Cessna 441 Conquest,"Bismarck, North Dakota",3,N441CX,http://www.baaa-acro.com/crash/crash-cessna-441-conquest-ii-near-bismarck-3-killed
"Nov 13, 2018",Cessna 340,"Ponoka-Labrie Field, Alberta",0,C-GMLS,http://www.baaa-acro.com/crash/crash-cessna-340a-ponoka
"Nov 12, 2018",Rockwell Gulfstream 690C Jetprop 840,"Myrtle Beach, South Carolina",0,N840JC,http://www.baaa-acro.com/crash/crash-gulfstream-690c-jetprop-840-myrtle-beach
"Nov 9, 2018",Boeing 757-200,"Georgetown-Cheddi Jagan, Demerara-Mahaica",1,N524AT,http://www.baaa-acro.com/crash/crash-boeing-757-23n-georgetown-1-killed
"Nov 9, 2018",Lockheed C-130 Hercules,"Chaklala-Nur Khan AFB (Islamabad), Islamabad Capital Territory (وفاقی دارالحکومت)",0,4180,http://www.baaa-acro.com/crash/crash-lockheed-c-130e-hercules-chaklala-nur-khan-afb
"Nov 8, 2018",PZL-Mielec AN-2,"Arkhangelsk, Arkhangelsk oblast",0,RA-84674,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-near-arkhangelsk
"Nov 7, 2018",Boeing 747-400,"Halifax-Stanfield, Nova Scotia",0,N908AR,http://www.baaa-acro.com/crash/crash-boeing-747-412f-halifax
"Oct 29, 2018",Boeing 737 MAX 8,"Jakarta, City District of Jakarta",189,PK-LQP,http://www.baaa-acro.com/crash/crash-boeing-737-max-8-jakarta-189-killed
"Oct 28, 2018",Cessna 340,"Santa Cruz, Santa Cruz",0,N5224J,http://www.baaa-acro.com/crash/crash-cessna-340a-santa-cruz
"Oct 25, 2018",Piper PA-31 Cheyenne,"Atlantic Ocean, All World",5,N555PM,http://www.baaa-acro.com/crash/crash-piper-pa-31t-cheyenne-atlantic-ocean-5-killed
"Oct 21, 2018",Piper PA-46 Malibu Meridian (Malibu Mirage),"Hurricane, Utah",0,N413LL,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-mirage-hurricane
"Oct 3, 2018",Antonov AN-26,"Khartoum, Khartoum (الخرطوم)",0,7706,http://www.baaa-acro.com/crash/crash-antonov-26-khartoum
"Oct 3, 2018",Antonov AN-32,"Khartoum, Khartoum (الخرطوم)",0,-,http://www.baaa-acro.com/crash/crash-antonov-32-khartoum
"Sep 28, 2018",Boeing 737-800,"Weno Island, Chuuk Island",1,P2-PXE,http://www.baaa-acro.com/crash/crash-boeing-737-8bk-weno-island-1-killed
"Sep 27, 2018",Dassault Falcon 50,"Greenville-Downtown, South Carolina",2,N114TD,http://www.baaa-acro.com/crash/crash-dassault-falcon-50-greenville-2-killed
"Sep 27, 2018",Cessna 208B Grand Caravan,"Pacific Ocean, All World",1,VH-FAY,http://www.baaa-acro.com/crash/crash-cessna-208b-supervan-900-pacific-ocean-1-killed
"Sep 25, 2018",Beechcraft 200 Super King Air,"Oscoda-Wurtsmith, Michigan",1,N241CK,http://www.baaa-acro.com/crash/crash-beechcraft-200-super-king-air-oscoda-1-killed
"Sep 17, 2018",Ilyushin II-20,"Latakia, Latakia Governorate (مُحافظة اللاذقية‎)",15,RF-93610,http://www.baaa-acro.com/crash/crash-ilyushin-ii-20m-latakia-15-killed
"Sep 15, 2018",Beechcraft 90 King Air,"Ipumirim, Santa Catarina",1,PR-RFB,http://www.baaa-acro.com/crash/crash-beechcraft-c90b-king-air-ipumirim-1-killed
"Sep 9, 2018",Let 410UVP,"Yirol, Lakes (البحيرات)",20,UR-TWO,http://www.baaa-acro.com/crash/crash-let-410uvp-yirol-20-killed
"Sep 6, 2018",Cessna 340,"Kimball, Michigan",1,C-GLKX,http://www.baaa-acro.com/crash/crash-cessna-340a-kimball-1-killed
"Sep 1, 2018",Boeing 737-800,"Sochi-Adler, Krasnodar Krai",0,VQ-BJI,http://www.baaa-acro.com/crash/crash-boeing-737-8as-sochi
"Aug 30, 2018",Beechcraft 60 Duke,"Destin-Executive, Florida",4,N1876L,http://www.baaa-acro.com/crash/crash-beechcraft-60-duke-destin-4-killed
"Aug 30, 2018",De Havilland DHC-6 Twin Otter,"Mojo, Oromia",18,ET-AIU,http://www.baaa-acro.com/crash/cras-de-havilland-dhc-6-twin-otter-mojo-18-killed
"Aug 25, 2018",Grumman G-64 Albatross,"Atlantic Ocean, All World",0,N1955G,http://www.baaa-acro.com/crash/crash-grumman-g-64-atlantic-ocean
"Aug 21, 2018",Piper PA-31-310 Navajo,"Limoges, Haute-Vienne",0,F-HGPS,http://www.baaa-acro.com/crash/crash-piper-pa-31-310-navajo-near-limoges
"Aug 16, 2018",Boeing 737-800,"Manila-Ninoy Aquino, Metro Manila",0,B-5498,http://www.baaa-acro.com/crash/crash-boeing-737-85c-manila
"Aug 13, 2018",Cessna 525 CJ1,"Payson, Utah",1,N526CP,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-cj1-payson-1-killed
"Aug 11, 2018",PAC 750XL - Pacific Aerospace Corporation,"Oksibil, Special Region of Papua",8,PK-HVQ,http://www.baaa-acro.com/crash/crash-pacific-aerospace-pac-750xl-near-oksibil-8-killed
"Aug 11, 2018",De Havilland DH.89 Dragon Rapide,"Abbotsford, British Columbia",0,N683DH,http://www.baaa-acro.com/crash/crash-de-havilland-dh89a-dragon-rapide-4-abbotsford
"Aug 10, 2018",De Havilland Dash-8-400,"Ketron Island, Washington",1,N449QX,http://www.baaa-acro.com/crash/crash-de-havilland-dash-8-400-ketron-island-1-killed
"Aug 7, 2018",Dassault Falcon 20,"San Luis Potosí, San Luis Potosí",0,N961AA,http://www.baaa-acro.com/crash/crash-dassault-falcon-20d-san-luis-potosi
"Aug 5, 2018",Cessna 414 Chancellor,"Santa Ana-John Wayne, California",5,N727RP,http://www.baaa-acro.com/crash/crash-cessna-414-chancellor-santa-ana-5-killed
"Aug 4, 2018",Extra EA-400,"Ponca City, Oklahoma",5,N13EP,http://www.baaa-acro.com/crash/crash-extra-ea-400-ponca-city-5-killed
