Date,A/C Type,Location,Fatalities,Registration,detail.url
"Jul 28, 2014",Embraer EMB-110 Bandeirante,"Foz do Iguaçu, Paraná",0,PT-TAW,http://www.baaa-acro.com/crash/crash-embraer-emb-110p1-bandeirante-foz-do-iguacu
"Jul 24, 2014",McDonnell Douglas MD-83,"Gossi, Tombouctou",116,EC-LTV,http://www.baaa-acro.com/crash/crash-md-83-near-gossi-116-killed
"Jul 23, 2014",ATR72-500,"Makung, Penghu County (澎湖縣)",48,B-22810,http://www.baaa-acro.com/crash/crash-atr72-500-makung-48-killed
"Jul 22, 2014",Lockheed C-130 Hercules,"Herat, Herat",0,MM62190,http://www.baaa-acro.com/crash/crash-lockheed-c-130j-hercules-herat
"Jul 19, 2014",PAC 750XL - Pacific Aerospace Corporation,"Gulgubip, Western (Fly)",0,P2-RNB,http://www.baaa-acro.com/crash/crash-pacific-aerospace-pac-750xtol-gulgubip
"Jul 17, 2014",Boeing 777-200,"Shakhtarsk, Donetsk Oblast",298,9M-MRD,http://www.baaa-acro.com/crash/crash-boeing-777-2h6er-near-moskovske-298-killed
"Jul 14, 2014",Antonov AN-26,"Donetsk, Donetsk Oblast",2,19 blue,http://www.baaa-acro.com/crash/crash-antonov-26-izvaryne-2-killed
"Jul 11, 2014",De Havilland DHC-2 Beaver,"Saint John Harbour, British Columbia",0,C-FFRL,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-2-beaver-near-saint-john-harbour
"Jul 6, 2014",Britten-Norman Islander,"Chirundu, Southern",0,9Q-CYA,http://www.baaa-acro.com/crash/crash-britten-norman-bn-2a-islander-near-chirundu
"Jul 6, 2014",Britten-Norman Islander,"Monkey Mountain, Potaro-Siparuni",0,8R-GGY,http://www.baaa-acro.com/crash/crash-britten-norman-bn-2a-26-islander-monkey-mountain
"Jul 5, 2014",Piper PA-31-350 Navajo Chieftain,"Częstochowa, Silesian Voivodeship (Śląskie)",11,N11WB,http://www.baaa-acro.com/crash/crash-piper-pa-31p-pressurized-navajo-near-czestochowa-11-killed
"Jul 2, 2014",Fokker 50,"Nairobi, Nairobi City District",4,5Y-CET,http://www.baaa-acro.com/crash/crash-fokker-50-nairobi-4-killed
"Jun 26, 2014",Cessna 414 Chancellor,"Creve Coeur, Missouri",0,N1552T,http://www.baaa-acro.com/crash/crash-cessna-414-chancellor-creve-coeur
"Jun 25, 2014",De Havilland DHC-2 Beaver,"Kennedy Lake, Ontario",0,C-FHVT,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-2-beaver-near-kennedy-lake
"Jun 23, 2014",Learjet 35,"Olsberg, North Rhine-Westphalia",2,D-CGFI,http://www.baaa-acro.com/crash/crash-learjet-35a-near-olsberg-2-killed
"Jun 18, 2014",IAI 1124 Westwind,"Huntsville, Alabama",3,N793BG,http://www.baaa-acro.com/crash/crash-iai-1124a-westwind-ii-huntsville-3-killed
"Jun 17, 2014",Grumman G-21A Goose,"Lost Trail, Montana",1,N888GG,http://www.baaa-acro.com/crash/crash-grumman-g-21a-goose-lost-trail-1-killed
"Jun 17, 2014",Cessna 208 Caravan,"Lydenburg, Mpumalanga",3,3006,http://www.baaa-acro.com/crash/crash-cessna-208-caravan-i-near-lydenburg-3-killed
"Jun 14, 2014",Ilyushin II-76,"Luhansk, Luhansk Oblast",49,76777,http://www.baaa-acro.com/crash/crash-ilyushin-ii-76md-near-luhansk-49-killed
"Jun 13, 2014",Cessna 525 CJ1,"Aruanã, Goiás",0,PP-PIM,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-cj1-aruana
"Jun 8, 2014",PZL-Mielec AN-2,"Olsztyn, Warmian-Masurian Voivodeship (Warmińsko-Mazurskie)",0,SP-FDZ,http://www.baaa-acro.com/crash/crash-pzl-mielec-2t-olsztyn
"Jun 7, 2014",PZL-Mielec AN-2,"Rybinsk, Yaroslavl oblast",1,RF-02883,http://www.baaa-acro.com/crash/crash-antonov-2-staroselye-1-killed
"Jun 6, 2014",Antonov AN-30,"Drobyshevo, Donetsk Oblast",5,80 yellow,http://www.baaa-acro.com/crash/crash-antonov-30b-drobyshevo-5-killed
"Jun 3, 2014",Ilyushin II-96,"Moscow-Sheremetyevo, Moscow oblast",0,RA-96010,http://www.baaa-acro.com/crash/ground-fire-ilyushin-ii-96-300-moscow
"Jun 2, 2014",Beechcraft 200 Super King Air,"Bahía Solano, Chocó",0,PNC-0225,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-b200-bahia-solano
"May 31, 2014",Gulfstream GIV,"Bedford, Massachusetts",7,N121JM,http://www.baaa-acro.com/crash/crash-gulfstream-giv-bedford-7-killed
"May 27, 2014",Beechcraft 200 Super King Air,"Carmelo, Colonia",5,LV-CNT,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-b200-rio-de-la-plata-5-killed
"May 17, 2014",Antonov AN-74TK-300,"Xieng Khouang, Xieng Khouang Province",16,RDPL-34020,http://www.baaa-acro.com/crash/crash-antonov-74tk-300d-xiang-khouang-16-killed
"May 17, 2014",Rockwell Aero Commander 500,"Fort Huachuca, Arizona",0,N40TC,http://www.baaa-acro.com/crash/crash-rockwell-aero-commander-500s-fort-huachuca
"May 12, 2014",Harbin Yunsunji Y-12,"El Wak, North Eastern",1,-,http://www.baaa-acro.com/crash/crash-harbin-yunsunji-y-12-ii-el-wak-1-killed
"May 10, 2014",Cessna 207 Skywagon/Stationair,"Page, Arizona",1,N7311U,http://www.baaa-acro.com/crash/crash-cessna-t207a-turbo-stationair-7-page-1-killed
"May 9, 2014",PZL-Mielec AN-2,"Terbuny, Lipetsk oblast",0,RF-00446,http://www.baaa-acro.com/crash/crash-pzl-mielec-2t-gryazi
"May 8, 2014",Boeing 737-400,"Kabul, Kabul",0,YA-PIB,http://www.baaa-acro.com/crash/crash-boeing-737-4y0-kabul
"May 8, 2014",Douglas DC-3,"San Vicente del Caguán, Caquetá",5,HK-4700,http://www.baaa-acro.com/crash/crash-douglas-dc-3c-near-san-vincente-del-caguan-5-killed
"May 4, 2014",Piper PA-31-350 Navajo Chieftain,"Bucaramanga, Santander",2,C-GSVM,http://www.baaa-acro.com/crash/crash-piper-pa-31p-navajo-colombia-2-killed
"Apr 29, 2014",Boeing 737-400,"East Midlands, Leicestershire",0,EI-STD,http://www.baaa-acro.com/crash/crash-boeing-737-476sf-east-midlands
